seed,regime,output,fixed_var,fixed_value,repeat,method,n_train,n_test,rmse,mae,r2
42,noise_free,Output1,X1,2.0,29,cubic,9,3,0.01624720358019381,0.009683732310158177,0.9994698145697258
42,noise_free,Output1,X1,2.0,29,rbf,9,3,0.022633955705091902,0.021736684353248197,0.9989710566429933
42,noise_free,Output1,X1,2.0,30,rbf,9,3,0.03745292455171093,0.03192908842372303,0.9973612230712463
42,noise_free,Output1,X1,2.0,31,rbf,9,3,0.025888177485145544,0.024018383068565186,0.991210620749015
42,noise_free,Output1,X1,2.0,32,rbf,9,3,0.04113554379575289,0.03105403915087142,0.9940730207006687
42,noise_free,Output1,X1,2.0,33,cubic,9,3,0.042952964658546595,0.041769089600844765,0.9750930781650622
42,noise_free,Output1,X1,2.0,33,rbf,9,3,0.041528910357880366,0.03706211089248305,0.9767172196605763
42,noise_free,Output1,X1,2.0,34,cubic,9,3,0.0010885927053696264,0.0006935814953334211,0.9999960280025505
42,noise_free,Output1,X1,2.0,34,rbf,9,3,0.013902881743181456,0.013803228670922726,0.9993521301363235
42,noise_free,Output1,X1,2.0,35,rbf,9,3,0.10175955698066308,0.07666633430563774,0.9617011852443585
42,noise_free,Output1,X1,2.0,36,rbf,9,3,0.03229352615943669,0.027072374342486032,0.9986923535985702
42,noise_free,Output1,X1,2.0,37,rbf,9,3,0.018452422989894766,0.014024331897288059,0.9955411955118655
42,noise_free,Output1,X1,2.0,38,rbf,9,3,0.0210062916294203,0.01935906842410458,0.9973642175546431
42,noise_free,Output1,X1,2.0,39,rbf,9,3,0.036037641491908017,0.033899609595732016,0.9987761658863556
42,noise_free,Output1,X2,0.5,0,rbf,9,3,0.1420245268848663,0.13324875798858926,0.976007846925873
42,noise_free,Output1,X2,0.5,1,cubic,9,3,0.035608432218009384,0.03435155265632953,0.9968369625731268
42,noise_free,Output1,X2,0.5,1,rbf,9,3,0.04079391230873795,0.04010408592580661,0.9958486500871773
42,noise_free,Output1,X2,0.5,2,cubic,9,3,0.030054099320150827,0.02933225141426421,0.9964502381635266
42,noise_free,Output1,X2,0.5,2,rbf,9,3,0.05822642245521077,0.04714242322795862,0.986676080642952
42,noise_free,Output1,X2,0.5,3,rbf,9,3,0.17387737311057652,0.14247741313770101,0.9916746447859212
42,noise_free,Output1,X2,0.5,4,rbf,9,3,0.14684408076171968,0.13559248647051328,0.9856830613939297
42,noise_free,Output1,X2,0.5,5,rbf,9,3,0.07475508215464309,0.07367410624287733,0.9946993932344046
42,noise_free,Output1,X2,0.5,6,cubic,9,3,0.06605816344265299,0.06144348535312331,0.9917161096269657
42,noise_free,Output1,X2,0.5,6,rbf,9,3,0.06431836884147026,0.06369339238804887,0.9921467143181988
42,noise_free,Output1,X2,0.5,7,rbf,9,3,0.10423975224956303,0.07976722981333255,0.9973919326732399
42,noise_free,Output1,X2,0.5,8,rbf,9,3,0.0602352534090643,0.058456755677619356,0.9822339254581902
42,noise_free,Output1,X2,0.5,9,rbf,9,3,0.11850754205133388,0.08335807797423289,0.983143348003911
42,noise_free,Output1,X2,0.5,10,rbf,9,3,0.04525735733242461,0.037786059909355796,0.9975402079729854
42,noise_free,Output1,X2,0.5,11,cubic,9,3,0.14149240254675224,0.12499294412781199,0.9617981408342543
42,noise_free,Output1,X2,0.5,11,rbf,9,3,0.06636175959192693,0.06519127594031089,0.9915966192211741
42,noise_free,Output1,X2,0.5,12,rbf,9,3,0.03516987965525392,0.031587183917754426,0.9988375683341415
42,noise_free,Output1,X2,0.5,13,cubic,9,3,0.02133136143085216,0.02081789789975123,0.9988816358430539
42,noise_free,Output1,X2,0.5,13,rbf,9,3,0.035506250815831225,0.030184747798598217,0.996901469864855
42,noise_free,Output1,X2,0.5,14,rbf,9,3,0.06023525340906353,0.058456755677619064,0.9822339254581907
42,noise_free,Output1,X2,0.5,15,cubic,9,3,0.17776626562023792,0.17090668916762733,0.9813262185480867
42,noise_free,Output1,X2,0.5,15,rbf,9,3,0.11672766516927226,0.11351550182598465,0.9919484189182471
42,noise_free,Output1,X2,0.5,16,rbf,9,3,0.10889363973092357,0.10491078629710031,0.9603785280222314
42,noise_free,Output1,X2,0.5,17,rbf,9,3,0.14097056329187302,0.12535409184557297,0.9446234342982058
